date	predicted_sessions
2009-05-24	4.9
2009-05-25	5.8
2009-05-26	5.7
2009-05-27	5.5
2009-05-28	5.0
2009-05-29	5.1
2009-05-30	4.9
2009-05-31	5.2
2009-06-01	5.8
2009-06-02	5.7
2009-06-03	5.9
2009-06-04	5.1
2009-06-05	5.3
2009-06-06	4.8
2009-06-07	5.2
2009-06-08	5.9
2009-06-09	5.7
2009-06-10	5.9
2009-06-11	5.1
2009-06-12	5.3
2009-06-13	4.9
2009-06-14	5.3
2009-06-15	5.9
2009-06-16	5.7
2009-06-17	5.9
2009-06-18	5.1
2009-06-19	5.3
2009-06-20	4.9
2009-06-21	5.3
2009-06-22	5.9
2009-06-23	5.7
2009-06-24	5.9
2009-06-25	5.1
2009-06-26	5.3
2009-06-27	4.9
2009-06-28	5.3
2009-06-29	5.8
2009-06-30	5.7
2009-07-01	5.8
2009-07-02	5.1
2009-07-03	5.3
2009-07-04	4.9
2009-07-05	5.2
2009-07-06	5.8
2009-07-07	5.7
2009-07-08	5.8
2009-07-09	5.1
2009-07-10	5.3
2009-07-11	4.9
2009-07-12	5.2
2009-07-13	5.8
2009-07-14	5.6
2009-07-15	5.8
2009-07-16	5.1
2009-07-17	5.3
2009-07-18	4.9
2009-07-19	5.2
2009-07-20	5.8
2009-07-21	5.6
2009-07-22	5.7
2009-07-23	5.1
2009-07-24	5.3
2009-07-25	4.9
2009-07-26	5.2
2009-07-27	5.7
2009-07-28	5.6
2009-07-29	5.7
2009-07-30	5.1
2009-07-31	5.2
2009-08-01	4.9
2009-08-02	5.2
2009-08-03	5.7
2009-08-04	5.6
2009-08-05	5.7
2009-08-06	5.1
2009-08-07	5.2
2009-08-08	4.9
2009-08-09	5.2
2009-08-10	5.7
2009-08-11	5.5
2009-08-12	5.7
2009-08-13	5.1
2009-08-14	5.2
2009-08-15	4.9
2009-08-16	5.2
2009-08-17	5.6
2009-08-18	5.5
2009-08-19	5.6
2009-08-20	5.1
2009-08-21	5.2
